STRING_KEY,LEVEL,DEST,english,vietnamese,chinese,japanese,korean,french,spanish,german,portuguese,russian,thai,indonesian
LLM_CALL_FILTER_FILES,PROGRESS,BOTH,[LLM Call] Filtering non-code files...,,,,,,,,,,,
LLM_CALL_MAP_ABSTRACTIONS,PROGRESS,BOTH,[LLM Call] Mapping abstractions for batch {batch_index} ({file_count} files)...,,,,,,,,,,,
LLM_CALL_REDUCE_ABSTRACTIONS,PROGRESS,BOTH,[LLM Call] Reducing {count} partial abstractions into global architecture...,,,,,,,,,,,
LLM_CALL_IDENTIFY_ABSTRACTIONS,PROGRESS,BOTH,[LLM Call] Identifying abstractions...,,,,,,,,,,,
LLM_CALL_ANALYZE_RELATIONSHIPS,PROGRESS,BOTH,[LLM Call] Analyzing relationships...,,,,,,,,,,,
LLM_CALL_ORDER_CHAPTERS,PROGRESS,BOTH,[LLM Call] Determining chapter order...,,,,,,,,,,,
LLM_CALL_WRITE_CHAPTER,PROGRESS,BOTH,[LLM Call] Writing chapter {chapter_num} for: {name}...,,,,,,,,,,,
LLM_CALL_SUMMARIZE,PROGRESS,BOTH,[Summarizing] Chapter {chapter_num} for cross-chapter context...,,,,,,,,,,,
LLM_CALL_SUMMARIZE_CACHED,PROGRESS,BOTH,[Summarizing] Cached chapter {chapter_num} for cross-chapter context...,,,,,,,,,,,
LLM_CALL_GROUPING,PROGRESS,BOTH,[LLM Call] Grouping {count} modules for sidebar navigation...,,,,,,,,,,,
SUMMARY_DONE,PROGRESS,BOTH,[Summary Done] Chapter {chapter_num}: {tokens} tokens,,,,,,,,,,,
SUMMARY_DONE_CACHED,PROGRESS,BOTH,[Summary Done] Cached chapter {chapter_num}: {tokens} tokens,,,,,,,,,,,
DONE_DETERMINISTIC_MAPPER,SUCCESS,BOTH,[File Mapping] Mapped {count} code files for exhaustive documentation.,,,,,,,,,,,
DONE_IDENTIFIED_ABSTRACTIONS,SUCCESS,BOTH,[Done] Identified {count} abstractions.,,,,,,,,,,,
DONE_RELATIONSHIPS,SUCCESS,BOTH,[Done] Generated project summary and relationship details.,,,,,,,,,,,
DONE_CHAPTER_ORDER,SUCCESS,BOTH,[Done] Determined chapter order: {indices},,,,,,,,,,,
DONE_WRITE_CHAPTER,SUCCESS,BOTH,[Writing Done] Chapter {chapter_num}: {tokens} tokens,,,,,,,,,,,
DONE_ALL_CHAPTERS,SUCCESS,BOTH,[Done] Finished writing {count} chapters.,,,,,,,,,,,
DONE_GROUPING,SUCCESS,BOTH,[Grouping Done] Created {count} sections,,,,,,,,,,,
CACHE_HIT_SKIP,SUCCESS,BOTH,[Cache Hit] Skipping LLM for: {name},,,,,,,,,,,
COMBINE_WRITING_OUTPUT,SUCCESS,BOTH,[Output] Writing to: {path},,,,,,,,,,,
GEN_COMPLETE,SUCCESS,STDOUT,[Done] Generation complete! Files are in: {path},,,,,,,,,,,
CAPACITY_PROMPT_OVERHEAD,INFO,STDOUT,"[Capacity] Estimated prompt overhead: ~{total} tokens (template: {template}, dir tree: {tree}, chapter listing: {listing})",,,,,,,,,,,
CAPACITY_API_REF_MODE,SUCCESS,STDOUT,[Capacity] api-reference mode active. Bypassing LLM discovery — using direct file mapping.,,,,,,,,,,,
CAPACITY_FITS,SUCCESS,STDOUT,"[Capacity] File content ({tokens} tokens) fits in effective limit ({limit} tokens). Proceeding normally.",,,,,,,,,,,
CAPACITY_EXCEEDS_FORCE,SUCCESS,STDOUT,[Capacity] File content ({tokens} tokens) exceeds effective limit ({limit} tokens) but force-batch is enabled. Proceeding with single batch.,,,,,,,,,,,
CAPACITY_FITS_FORCE,SUCCESS,STDOUT,[Capacity] File content ({tokens} tokens) fits in effective limit ({limit} tokens) but force-batch is enabled. Proceeding with batched processing.,,,,,,,,,,,
CAPACITY_SPLIT,WARNING,STDOUT,[Capacity] Split into {count} {word}.,,,,,,,,,,,
CAPACITY_BATCH_DEBUG,WARNING,STDOUT,"  [Debug] Batch {index}: {file_count} files, ~{tokens} content tokens (limit: {limit})",,,,,,,,,,,
